time_ms,ch1_v,ch2_v
,4.41,3.63
73,4.41,3.63
75,4.41,3.63
76,4.41,3.63
77,4.41,3.63
78,4.41,3.63
79,4.41,3.63
80,4.41,3.63
81,4.41,3.63
82,4.41,3.63
83,4.41,3.63
84,4.41,3.63
86,4.41,3.63
87,4.41,3.63
88,4.41,3.63
89,4.41,3.63
90,4.41,3.63
91,4.41,3.63
92,4.41,3.63
93,4.41,3.63
94,4.41,3.63
95,4.41,3.63
96,4.41,3.63
97,4.41,3.63
98,4.41,3.63
99,4.41,3.63
100,4.41,3.63
101,4.42,3.63
102,4.42,3.63
103,4.42,3.63
104,4.42,3.63
106,4.41,3.63
107,4.42,3.63
108,4.41,3.63
109,4.41,3.63
110,4.41,3.63
111,4.41,3.63
112,4.41,3.63
113,4.41,3.63
114,4.41,3.63
115,4.41,3.63
116,4.41,3.63
117,4.41,3.63
119,4.41,3.63
120,4.41,3.63
121,4.41,3.63
122,4.41,3.63
123,4.41,3.63
124,4.41,3.63
125,4.41,3.63
126,4.41,3.64
128,4.40,3.63
129,4.41,3.63
130,4.40,3.63
131,4.40,3.63
132,4.40,3.64
134,4.40,3.64
135,4.40,3.63
136,4.40,3.63
137,4.40,3.63
138,4.40,3.63
139,4.40,3.63
140,4.40,3.63
141,4.40,3.63
142,4.40,3.63
143,4.40,3.63
144,4.40,3.63
145,4.40,3.63
146,4.40,3.63
147,4.40,3.63
148,4.40,3.63
150,4.41,3.63
151,4.40,3.64
152,4.40,3.64
153,4.40,3.64
154,4.40,3.64
155,4.40,3.64
156,4.40,3.64
157,4.41,3.64
158,4.41,3.64
159,4.41,3.64
160,4.41,3.64
161,4.41,3.64
162,4.41,3.64
164,4.40,3.64
165,4.41,3.64
166,4.40,3.64
167,4.40,3.64
168,4.40,3.64
169,4.40,3.64
171,4.40,3.64
172,4.41,3.64
173,4.41,3.64
174,4.41,3.64
175,4.41,3.64
176,4.41,3.64
178,4.41,3.64
179,4.41,3.64
180,4.41,3.64
181,4.41,3.64
182,4.41,3.64
183,4.41,3.64
184,4.41,3.64
185,4.41,3.64
186,4.41,3.64
187,4.41,3.64
188,4.41,3.64
189,4.41,3.64
190,4.41,3.64
192,4.41,3.64
193,4.41,3.64
194,4.41,3.64
195,4.41,3.64
196,4.41,3.64
197,4.41,3.64
198,4.41,3.64
199,4.41,3.64
200,4.41,3.64
201,4.41,3.64
202,4.41,3.64
203,4.41,3.64
204,4.41,3.64
206,4.41,3.64
207,4.41,3.64
208,4.41,3.64
209,4.41,3.64
210,4.41,3.64
211,4.41,3.64
212,4.41,3.64
214,4.41,3.64
215,4.41,3.64
216,4.41,3.64
217,4.41,3.64
218,4.41,3.64
219,4.41,3.65
221,4.41,3.64
222,4.41,3.65
223,4.41,3.65
224,4.41,3.65
225,4.41,3.65
226,4.42,3.65
227,4.42,3.65
228,4.41,3.65
229,4.42,3.65
230,4.42,3.64
231,4.42,3.65
232,4.42,3.64
234,4.42,3.64
235,4.42,3.64
236,4.42,3.64
237,4.42,3.64
238,4.42,3.64
239,4.42,3.64
240,4.42,3.64
241,4.42,3.64
242,4.42,3.64
243,4.42,3.64
244,4.42,3.64
245,4.42,3.64
246,4.42,3.64
248,4.42,3.64
249,4.42,3.64
250,4.42,3.64
251,4.42,3.64
252,4.42,3.64
253,4.42,3.64
254,4.42,3.64
256,4.42,3.64
257,4.42,3.64
258,4.42,3.64
259,4.42,3.64
261,4.42,3.64
262,4.42,3.64
263,4.42,3.64
264,4.42,3.64
265,4.42,3.64
266,4.42,3.64
267,4.42,3.64
268,4.42,3.64
269,4.41,3.64
270,4.42,3.64
271,4.42,3.64
272,4.42,3.64
273,4.42,3.64
275,4.42,3.64
276,4.42,3.64
277,4.42,3.64
278,4.42,3.64
279,4.42,3.64
280,4.42,3.64
281,4.42,3.64
282,4.42,3.64
283,4.42,3.64
284,4.42,3.64
285,4.42,3.64
286,4.42,3.64
287,4.42,3.64
289,4.42,3.64
290,4.42,3.64
291,4.42,3.64
292,4.42,3.64
293,4.42,3.64
294,4.42,3.64
295,4.42,3.64
296,4.42,3.64
297,4.42,3.64
299,4.42,3.64
300,4.42,3.64
301,4.42,3.64
302,4.43,3.64
304,4.43,3.64
305,4.43,3.64
306,4.43,3.64
307,4.43,3.64
308,4.43,3.64
309,4.43,3.64
310,4.43,3.64
311,4.43,3.64
312,4.43,3.64
313,4.43,3.64
314,4.43,3.64
315,4.43,3.64
316,4.43,3.64
318,4.43,3.64
319,4.43,3.64
320,4.43,3.64
321,4.43,3.64
322,4.43,3.64
323,4.43,3.64
324,4.43,3.64
325,4.43,3.64
326,4.43,3.64
327,4.43,3.64
328,4.43,3.64
329,4.43,3.64
331,4.43,3.64
332,4.43,3.64
333,4.43,3.64
334,4.43,3.64
335,4.43,3.64
336,4.43,3.64
337,4.43,3.64
338,4.43,3.64
339,4.43,3.64
340,4.43,3.63
342,4.43,3.63
343,4.43,3.64
345,4.43,3.64
346,4.43,3.64
347,4.43,3.64
348,4.43,3.64
349,4.42,3.64
350,4.42,3.64
351,4.42,3.64
352,4.42,3.64
353,4.42,3.64
354,4.42,3.64
355,4.42,3.64
356,4.42,3.64
357,4.42,3.64
359,4.42,3.64
360,4.42,3.64
361,4.42,3.64
362,4.42,3.64
363,4.42,3.64
364,4.42,3.64
365,4.42,3.64
366,4.42,3.64
367,4.42,3.64
368,4.42,3.64
369,4.42,3.64
370,4.42,3.64
371,4.42,3.64
373,4.42,3.64
374,4.42,3.64
375,4.42,3.64
376,4.42,3.64
377,4.42,3.64
378,4.42,3.65
379,4.42,3.65
380,4.42,3.64
381,4.42,3.65
382,4.42,3.64
384,4.42,3.64
385,4.42,3.65
386,4.42,3.65
388,4.42,3.64
389,4.42,3.64
390,4.42,3.65
391,4.42,3.65
392,4.42,3.64
393,4.42,3.65
394,4.42,3.65
395,4.42,3.65
396,4.42,3.65
397,4.42,3.65
398,4.42,3.65
399,4.42,3.65
401,4.42,3.65
402,4.42,3.65
403,4.42,3.65
404,4.42,3.65
405,4.42,3.65
406,4.42,3.65
407,4.43,3.65
408,4.43,3.65
409,4.43,3.65
410,4.43,3.65
411,4.43,3.65
413,4.43,3.65
414,4.43,3.65
415,4.43,3.65
416,4.43,3.65
417,4.43,3.65
418,4.43,3.65
419,4.43,3.65
420,4.43,3.65
421,4.43,3.65
422,4.43,3.65
423,4.43,3.65
424,4.43,3.65
427,4.43,3.65
428,4.43,3.65
429,4.43,3.65
430,4.43,3.65
431,4.43,3.65
432,4.43,3.65
433,4.43,3.65
434,4.43,3.65
435,4.43,3.65
436,4.43,3.65
437,4.43,3.65
438,4.43,3.65
439,4.43,3.66
441,4.43,3.66
442,4.43,3.66
443,4.43,3.65
444,4.43,3.66
445,4.43,3.66
446,4.43,3.66
447,4.43,3.66
448,4.43,3.66
449,4.43,3.66
450,4.43,3.66
451,4.43,3.65
452,4.43,3.66
454,4.43,3.66
455,4.43,3.65
456,4.43,3.65
457,4.43,3.65
458,4.43,3.65
459,4.43,3.66
460,4.43,3.66
461,4.44,3.66
462,4.44,3.66
463,4.44,3.65
464,4.44,3.66
465,4.44,3.65
466,4.44,3.65
468,4.44,3.65
470,4.44,3.65
471,4.44,3.65
472,4.44,3.65
473,4.44,3.65
474,4.44,3.65
475,4.44,3.65
476,4.44,3.66
477,4.44,3.66
478,4.44,3.66
479,4.44,3.66
480,4.44,3.66
482,4.44,3.66
483,4.43,3.66
484,4.43,3.66
485,4.43,3.66
486,4.43,3.66
487,4.43,3.66
488,4.43,3.66
489,4.43,3.66
490,4.43,3.66
491,4.43,3.66
492,4.43,3.66
493,4.43,3.66
495,4.43,3.66
496,4.43,3.66
497,4.43,3.66
498,4.43,3.66
499,4.43,3.66
500,4.43,3.66
501,4.43,3.66
502,4.43,3.66
503,4.43,3.66
504,4.43,3.66
505,4.43,3.66
506,4.43,3.66
508,4.43,3.66
509,4.43,3.66
510,4.43,3.66
512,4.43,3.66
513,4.43,3.66
514,4.43,3.66
515,4.43,3.66
516,4.43,3.66
517,4.43,3.66
518,4.43,3.67
519,4.43,3.66
520,4.43,3.66
522,4.43,3.66
523,4.43,3.66
524,4.43,3.66
525,4.43,3.66
526,4.43,3.66
527,4.43,3.66
528,4.43,3.66
529,4.43,3.66
530,4.44,3.66
531,4.44,3.66
532,4.44,3.66
533,4.44,3.66
534,4.44,3.66
536,4.44,3.66
537,4.44,3.66
538,4.44,3.66
539,4.43,3.66
540,4.43,3.66
541,4.43,3.66
542,4.44,3.66
543,4.44,3.66
544,4.44,3.66
545,4.43,3.66
546,4.44,3.67
547,4.43,3.67
549,4.43,3.67
550,4.43,3.67
551,4.43,3.67
552,4.44,3.67
553,4.44,3.67
555,4.44,3.67
556,4.44,3.67
557,4.44,3.67
558,4.45,3.67
559,4.45,3.66
560,4.45,3.66
561,4.45,3.66
563,4.45,3.66
564,4.45,3.66
565,4.45,3.66
566,4.45,3.66
567,4.45,3.66
568,4.44,3.66
569,4.44,3.66
570,4.44,3.66
571,4.44,3.66
572,4.44,3.66
573,4.44,3.66
574,4.44,3.66
576,4.44,3.67
577,4.43,3.67
578,4.43,3.67
579,4.43,3.67
580,4.43,3.67
581,4.43,3.67
582,4.43,3.67
583,4.43,3.67
584,4.43,3.67
585,4.43,3.67
586,4.43,3.67
587,4.43,3.67
589,4.43,3.67
590,4.43,3.67
591,4.43,3.67
592,4.43,3.67
593,4.43,3.67
594,4.43,3.67
595,4.43,3.67
596,4.43,3.67
598,4.43,3.67
599,4.43,3.67
600,4.43,3.67
601,4.43,3.67
602,4.43,3.67
604,4.43,3.68
605,4.43,3.68
606,4.43,3.68
607,4.43,3.68
608,4.43,3.68
609,4.43,3.68
610,4.43,3.68
611,4.43,3.69
612,4.43,3.69
613,4.43,3.69
614,4.43,3.69
615,4.43,3.69
617,4.43,3.69
618,4.43,3.69
619,4.43,3.69
620,4.43,3.69
621,4.43,3.70
622,4.43,3.69
623,4.43,3.69
624,4.44,3.69
625,4.44,3.69
626,4.45,3.69
627,4.45,3.69
628,4.46,3.69
629,4.45,3.69
631,4.45,3.69
632,4.45,3.69
633,4.45,3.69
634,4.45,3.69
635,4.44,3.69
636,4.44,3.69
637,4.44,3.69
638,4.44,3.69
640,4.44,3.70
641,4.44,3.70
642,4.44,3.70
643,4.44,3.70
644,4.44,3.70
646,4.44,3.70
647,4.44,3.70
648,4.44,3.70
649,4.44,3.70
650,4.44,3.70
651,4.44,3.70
652,4.44,3.70
653,4.44,3.70
654,4.44,3.70
655,4.44,3.70
656,4.44,3.70
657,4.44,3.70
658,4.44,3.70
659,4.44,3.70
661,4.44,3.70
662,4.44,3.70
663,4.44,3.70
664,4.45,3.70
665,4.45,3.70
666,4.45,3.70
667,4.45,3.70
668,4.45,3.70
669,4.45,3.70
670,4.45,3.70
671,4.44,3.70
672,4.44,3.70
673,4.44,3.70
674,4.44,3.70
676,4.44,3.70
677,4.43,3.70
678,4.43,3.70
679,4.43,3.70
680,4.43,3.71
681,4.43,3.71
683,4.42,3.71
684,4.42,3.71
685,4.42,3.71
686,4.42,3.71
687,4.42,3.71
688,4.42,3.71
689,4.42,3.70
691,4.42,3.70
692,4.42,3.70
693,4.42,3.70
694,4.42,3.70
695,4.42,3.70
696,4.42,3.70
697,4.43,3.70
698,4.43,3.70
699,4.44,3.70
700,4.44,3.70
701,4.45,3.70
702,4.45,3.70
703,4.46,3.70
704,4.46,3.70
705,4.46,3.70
707,4.46,3.70
708,4.46,3.70
709,4.46,3.69
710,4.46,3.69
711,4.45,3.69
712,4.44,3.69
713,4.44,3.69
714,4.43,3.68
715,4.43,3.69
716,4.43,3.69
717,4.42,3.69
718,4.42,3.70
720,4.42,3.70
721,4.42,3.70
722,4.42,3.70
723,4.42,3.70
724,4.41,3.70
726,4.41,3.70
727,4.41,3.71
728,4.41,3.71
729,4.41,3.71
730,4.41,3.71
731,4.41,3.71
732,4.41,3.70
733,4.41,3.70
734,4.41,3.70
